typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20050101","2005","52","2005","12","DZA","Algeria","M","Import","203","CZE","Czechia","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","212959155","false","-1","N/A",,"false","212959155","false",,"false","32055188",,"32055188","0","true","false",
"C","A","20050101","2005","52","2005","12","DZA","Algeria","M","Import","251","FRA","France","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2457967685","false","-1","N/A",,"false","2457967685","false",,"false","447037636",,"447037636","0","true","false",
"C","A","20050101","2005","52","2005","12","DZA","Algeria","M","Import","276","DEU","Germany","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","164137886","false","-1","N/A",,"false","164137886","false",,"false","25525206",,"25525206","0","true","false",
"C","A","20050101","2005","52","2005","12","DZA","Algeria","M","Import","300","GRC","Greece","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6299470","false","-1","N/A",,"false","6299470","false",,"false","1433983",,"1433983","0","true","false",
"C","A","20050101","2005","52","2005","12","DZA","Algeria","M","Import","348","HUN","Hungary","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7988040","false","-1","N/A",,"false","7988040","false",,"false","1213078",,"1213078","0","true","false",
"C","A","20050101","2005","52","2005","12","DZA","Algeria","M","Import","352","ISL","Iceland","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7000000","false","-1","N/A",,"false","7000000","false",,"false","1795223",,"1795223","0","true","false",
"C","A","20050101","2005","52","2005","12","DZA","Algeria","M","Import","380","ITA","Italy","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","55714996","false","-1","N/A",,"false","55714996","false",,"false","12261730",,"12261730","0","true","false",
"C","A","20050101","2005","52","2005","12","DZA","Algeria","M","Import","484","MEX","Mexico","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","325131562","false","-1","N/A",,"false","325131562","false",,"false","73955448",,"73955448","0","true","false",
"C","A","20050101","2005","52","2005","12","DZA","Algeria","M","Import","498","MDA","Rep. of Moldova","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3297800","false","-1","N/A",,"false","3297800","false",,"false","434364",,"434364","0","true","false",
"C","A","20050101","2005","52","2005","12","DZA","Algeria","M","Import","528","NLD","Netherlands","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","66249117","false","-1","N/A",,"false","66249117","false",,"false","10807075",,"10807075","0","true","false",
"C","A","20050101","2005","52","2005","12","DZA","Algeria","M","Import","568","E19","Other Europe, nes","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","48198198","false","-1","N/A",,"false","48198198","false",,"false","8009278",,"8009278","0","true","false",
"C","A","20050101","2005","52","2005","12","DZA","Algeria","M","Import","616","POL","Poland","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","176086902","false","-1","N/A",,"false","176086902","false",,"false","26367884",,"26367884","0","true","false",
"C","A","20050101","2005","52","2005","12","DZA","Algeria","M","Import","642","ROU","Romania","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11456330","false","-1","N/A",,"false","11456330","false",,"false","1486946",,"1486946","0","true","false",
"C","A","20050101","2005","52","2005","12","DZA","Algeria","M","Import","643","RUS","Russian Federation","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","696199488","false","-1","N/A",,"false","696199488","false",,"false","108729629",,"108729629","0","true","false",
"C","A","20050101","2005","52","2005","12","DZA","Algeria","M","Import","703","SVK","Slovakia","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11917154","false","-1","N/A",,"false","11917154","false",,"false","1943652",,"1943652","0","true","false",
"C","A","20050101","2005","52","2005","12","DZA","Algeria","M","Import","705","SVN","Slovenia","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4531861","false","-1","N/A",,"false","4531861","false",,"false","653247",,"653247","0","true","false",
"C","A","20050101","2005","52","2005","12","DZA","Algeria","M","Import","724","ESP","Spain","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","50055939","false","-1","N/A",,"false","50055939","false",,"false","16032009",,"16032009","0","true","false",
"C","A","20050101","2005","52","2005","12","DZA","Algeria","M","Import","760","SYR","Syria","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","44580000","false","-1","N/A",,"false","44580000","false",,"false","9739000",,"9739000","0","true","false",
"C","A","20050101","2005","52","2005","12","DZA","Algeria","M","Import","764","THA","Thailand","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5490000","false","-1","N/A",,"false","5490000","false",,"false","1199060",,"1199060","0","true","false",
"C","A","20050101","2005","52","2005","12","DZA","Algeria","M","Import","792","TUR","Türkiye","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","101506904","false","-1","N/A",,"false","101506904","false",,"false","22393520",,"22393520","0","true","false",
"C","A","20050101","2005","52","2005","12","DZA","Algeria","M","Import","804","UKR","Ukraine","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","356619984","false","-1","N/A",,"false","356619984","false",,"false","51665125",,"51665125","0","true","false",
"C","A","20050101","2005","52","2005","12","DZA","Algeria","M","Import","842","USA","USA","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","192596872","false","-1","N/A",,"false","192596872","false",,"false","45074028",,"45074028","0","true","false",
"C","A","20050101","2005","52","2005","12","DZA","Algeria","M","Import","858","URY","Uruguay","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","23767098","false","-1","N/A",,"false","23767098","false",,"false","4639208",,"4639208","0","true","false",
"C","A","20050101","2005","52","2005","24","AGO","Angola","M","Import","0","W00","World","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","4966884.349","3243783.987","4966884.349","0","false","true",
"C","A","20050101","2005","52","2005","24","AGO","Angola","M","Import","32","ARG","Argentina","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","602312.255","353858.45","602312.255","0","false","true",
"C","A","20050101","2005","52","2005","24","AGO","Angola","M","Import","76","BRA","Brazil","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","195","false","8","kg","195","false","195","false","0","false","165.972","138.906","165.972","0","false","true",
"C","A","20050101","2005","52","2005","24","AGO","Angola","M","Import","251","FRA","France","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","1201331.429","789739.152","1201331.429","0","false","true",
"C","A","20050101","2005","52","2005","24","AGO","Angola","M","Import","422","LBN","Lebanon","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","280","false","8","kg","280","false","280","false","0","false","438.474","378.373","438.474","0","false","true",
"C","A","20050101","2005","52","2005","24","AGO","Angola","M","Import","528","NLD","Netherlands","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","904","false","8","kg","904","false","904","false","0","false","589.342","486.859","589.342","0","false","true",
"C","A","20050101","2005","52","2005","24","AGO","Angola","M","Import","620","PRT","Portugal","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","358","false","8","kg","358","false","358","false","0","false","1448.639","1167.792","1448.639","0","false","true",
"C","A","20050101","2005","52","2005","24","AGO","Angola","M","Import","826","GBR","United Kingdom","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2544","false","8","kg","2544","false","2544","false","0","false","1521.234","1059.559","1521.234","0","false","true",
"C","A","20050101","2005","52","2005","24","AGO","Angola","M","Import","842","USA","USA","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","15439618.624","true","-1","N/A","0","false","15439618.624","true","0","false","3159077.004","2096954.897","3159077.004","6","false","true",
"C","A","20050101","2005","52","2005","28","ATG","Antigua and Barbuda","M","Import","0","W00","World","0","W00","World","H1","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11","false","-1","N/A",,"false","11","false",,"false","35",,"35","0","false","false",
"C","A","20050101","2005","52","2005","28","ATG","Antigua and Barbuda","M","Import","842","USA","USA","0","W00","World","H1","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11","false","-1","N/A",,"false","11","false",,"false","35",,"35","0","false","false",
"C","A","20050101","2005","52","2005","31","AZE","Azerbaijan","M","Import","0","W00","World","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","909329211","false","-1","N/A",,"false","909329211","false",,"false","119442754",,"119442754","0","true","false",
"C","A","20050101","2005","52","2005","31","AZE","Azerbaijan","M","Import","398","KAZ","Kazakhstan","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","103580409","false","-1","N/A",,"false","103580409","false",,"false","13477282",,"13477282","0","true","false",
"C","A","20050101","2005","52","2005","31","AZE","Azerbaijan","M","Import","643","RUS","Russian Federation","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","805744718","false","-1","N/A",,"false","805744718","false",,"false","105962732",,"105962732","0","true","false",
"C","A","20050101","2005","52","2005","31","AZE","Azerbaijan","M","Import","792","TUR","Türkiye","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4084","false","-1","N/A",,"false","4084","false",,"false","2739",,"2739","0","true","false",
"C","A","20050101","2005","52","2005","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","147844","false","-1","N/A",,"false","147844","false",,"false","71317",,"71317","0","true","false",
